,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds,description.stories,location.address.coordinate.lon,location.address.coordinate.lat,list_price
0,2021.0,4.0,,1.0,,43560.0,4064.0,3.0,5.0,2.0,-78.975605,35.994409,815100
1,2020.0,3.0,,,,6970.0,2395.0,2.0,3.0,2.0,-78.833035,35.906707,470576
3,2020.0,2.0,,,,6970.0,3520.0,2.0,2.0,1.0,-78.832879,35.906641,433754
4,1940.0,2.0,,,,6970.0,1486.0,,3.0,1.0,-78.915344,36.014227,250000
7,1963.0,2.0,,,,20255.0,1050.0,1.0,3.0,1.0,-78.842772,36.045108,215000
9,2018.0,2.0,,1.0,,11151.0,2519.0,2.0,3.0,2.0,-78.934903,35.963317,549900
10,1970.0,2.0,,,,19950.0,1663.0,,3.0,1.0,-78.935719,36.081496,235000
12,2020.0,2.0,,1.0,,4356.0,1224.0,,3.0,2.0,-78.924536,35.960146,275000
13,1951.0,2.0,,1.0,,20865.0,4192.0,1.0,3.0,,-78.885133,35.978208,229500
14,1991.0,3.0,,,,61420.0,2475.0,1.0,4.0,2.0,-78.935718,35.961291,360000
15,1980.0,2.0,,,,25700.0,1500.0,,3.0,1.0,-78.968439,36.045692,225000
16,,3.0,,,,,2529.0,2.0,3.0,2.0,-78.7928,35.95985,396190
17,,3.0,,,,,2529.0,2.0,3.0,2.0,-78.79246,35.95964,399190
18,,3.0,,,,,2671.0,2.0,4.0,2.0,-78.79234,35.95983,401890
19,2021.0,2.0,,,,7187.0,1403.0,2.0,3.0,1.0,-78.792948,35.947876,370035
20,1930.0,2.0,,,,5009.0,1106.0,,3.0,1.0,-78.920535,35.990968,319900
22,2002.0,2.0,,,,17424.0,1294.0,1.0,3.0,2.0,-78.807974,35.984888,245000
23,2015.0,2.0,,,,4792.0,1611.0,2.0,3.0,1.0,-78.785122,35.935736,399500
24,1920.0,1.0,,1.0,,5009.0,1194.0,,4.0,2.0,-78.887646,35.980218,175000
25,2015.0,4.0,,1.0,,8712.0,3714.0,2.0,4.0,2.0,-78.826848,35.899533,662840
26,1988.0,2.0,,,,56149.0,1461.0,1.0,2.0,1.0,-79.034044,36.010897,270000
28,2000.0,2.0,,1.0,,4356.0,1785.0,2.0,4.0,2.0,-78.920898,35.938391,299900
29,1998.0,2.0,,1.0,,16117.0,1933.0,2.0,3.0,2.0,-78.920963,35.935788,345000
32,1981.0,3.0,,,,23958.0,5494.0,,5.0,,-78.951464,35.976232,799000
33,1924.0,1.0,,1.0,,7884.0,1226.0,,2.0,1.0,-78.908519,36.028717,256900
34,,2.0,,,,,1776.0,2.0,2.0,,,,519790
35,,3.0,,1.0,,,2293.0,2.0,4.0,3.0,,,312105
36,1964.0,1.0,,,,16117.0,960.0,2.0,3.0,1.0,-78.863377,35.974004,119000
40,1951.0,1.0,,,,6316.0,941.0,1.0,2.0,1.0,-78.887124,36.020007,225000
46,1967.0,2.0,,,,21344.0,1694.0,1.0,3.0,1.0,-78.990618,35.976231,244900
47,2006.0,2.0,,1.0,,10454.0,2303.0,2.0,3.0,2.0,-78.921956,35.933582,369000
48,1989.0,3.0,,,,39030.0,3450.0,2.0,4.0,2.0,-78.980976,36.010968,680000
49,1969.0,4.0,,1.0,,38812.0,4443.0,2.0,6.0,3.0,-78.953091,35.982945,1175000
50,2021.0,3.0,,1.0,,3703.0,2690.0,2.0,4.0,2.0,-78.95330574,35.877981061,535000
52,1940.0,1.0,,,,8756.0,884.0,,3.0,1.0,-78.891263,36.017757,195000
54,1994.0,2.0,,,,42689.0,1695.0,1.0,3.0,1.0,-78.928359,36.123446,285000
55,1951.0,3.0,,,,9583.0,2854.0,,4.0,1.0,-78.890693,35.9772,279900
56,2012.0,2.0,,1.0,,5227.0,2480.0,2.0,4.0,2.0,-78.828426,35.962198,318900
57,2000.0,2.0,,1.0,,7492.0,1553.0,1.0,3.0,2.0,-78.823493,35.987962,224850
58,1989.0,2.0,,,,12763.0,1130.0,,3.0,1.0,-78.806324,35.989594,209900
59,1960.0,1.0,,,,8494.0,994.0,,3.0,1.0,-78.903245,35.964097,179900
60,1948.0,2.0,,,,10193.0,1428.0,,3.0,1.0,-78.89166,36.018852,290000
61,1926.0,2.0,,,,14375.0,1644.0,,3.0,1.0,-78.932135,36.0186,650000
62,1983.0,3.0,,1.0,,17468.0,3590.0,2.0,4.0,2.0,-78.942467,36.029164,649000
63,1998.0,2.0,,1.0,,3049.0,1562.0,,3.0,2.0,-78.897315,35.929472,289000
64,1982.0,2.0,,,,8712.0,1500.0,,4.0,1.0,-78.900109,35.98233,190000
65,1986.0,2.0,,,,20038.0,1441.0,,3.0,1.0,-78.909722,36.059422,229000
66,,2.0,,1.0,,2985.0,2985.0,2.0,3.0,1.0,-78.92333,36.094191,363000
67,,2.0,,1.0,,2069.0,2069.0,1.0,3.0,1.0,-78.92333,36.094191,292600
68,,2.0,,1.0,,2309.0,2309.0,1.0,3.0,1.0,-78.92333,36.094191,302900
69,,2.0,,,,1587.0,1587.0,2.0,3.0,1.0,-78.92333,36.094191,280900
70,,2.0,,,,1680.0,1680.0,2.0,3.0,1.0,-78.92333,36.094191,299000
71,,3.0,,1.0,,3187.0,3187.0,2.0,4.0,1.0,-78.92333,36.094191,368400
72,,2.0,,1.0,,2098.0,2098.0,2.0,3.0,1.0,-78.92333,36.094191,289400
73,,2.0,,1.0,,3614.0,3614.0,2.0,4.0,1.0,-78.92333,36.094191,420000
