,list_price,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds
0,179000,1972.0,2.0,,,,20038.0,1611.0,,3.0
3,140000,2001.0,1.0,,1.0,,8407.0,1158.0,,3.0
4,364900,1925.0,2.0,,,,5271.0,1511.0,,3.0
8,299900,1970.0,2.0,,,,16553.0,1836.0,2.0,3.0
9,259900,1968.0,2.0,,,,19994.0,1460.0,1.0,3.0
11,268500,1997.0,2.0,,1.0,,38768.0,1914.0,2.0,3.0
13,474900,1998.0,3.0,,1.0,,22651.0,3444.0,2.0,4.0
15,399000,1968.0,2.0,,1.0,,53143.0,2253.0,2.0,3.0
16,275000,1993.0,2.0,,,,16117.0,1828.0,2.0,3.0
17,300000,1971.0,2.0,,,,20038.0,1800.0,1.0,3.0
18,416625,2021.0,2.0,,,,6490.0,1800.0,1.0,2.0
25,99900,1964.0,1.0,,,,7405.0,843.0,,3.0
27,270000,1940.0,2.0,,,,5097.0,1599.0,,3.0
28,330000,2017.0,2.0,,1.0,,7100.0,2462.0,2.0,3.0
30,215000,1925.0,1.0,,,,9583.0,1466.0,,3.0
33,395660,,3.0,,,,,1916.0,2.0,3.0
44,690000,1995.0,3.0,,1.0,,37287.0,4600.0,3.0,4.0
45,215000,2000.0,2.0,,1.0,,11326.0,1620.0,,3.0
47,230000,1996.0,1.0,,,,10019.0,884.0,,3.0
48,240000,1969.0,2.0,,,,20473.0,1297.0,,3.0
49,260000,2008.0,3.0,,,,10019.0,1958.0,2.0,4.0
50,391900,,3.0,,,,,1931.0,2.0,2.0
51,422210,,3.0,,,,,2149.0,2.0,2.0
53,285000,1991.0,2.0,,1.0,,12632.0,2145.0,2.0,3.0
54,290900,2002.0,2.0,,1.0,,6970.0,1583.0,1.0,3.0
55,334900,2017.0,2.0,,1.0,,5663.0,2046.0,2.0,4.0
56,179900,1969.0,1.0,,1.0,,7405.0,998.0,,3.0
57,385000,1994.0,2.0,,1.0,,16553.0,2863.0,2.0,4.0
58,299900,1978.0,3.0,,1.0,,21780.0,3496.0,,3.0
59,259000,1969.0,1.0,,1.0,,19994.0,1305.0,,3.0
60,496000,2021.0,3.0,,1.0,,21780.0,3574.0,2.0,5.0
61,549900,2020.0,3.0,,,,10803.0,2634.0,2.0,4.0
62,485000,1957.0,2.0,,1.0,,49223.0,2620.0,2.0,3.0
64,395660,2021.0,2.0,,1.0,,4792.0,1916.0,2.0,3.0
65,292000,1959.0,2.0,,1.0,,11848.0,1763.0,1.0,3.0
66,536025,2021.0,4.0,,1.0,,21780.0,3493.0,3.0,5.0
68,500000,2016.0,3.0,,,,6098.0,3265.0,2.0,3.0
70,419000,1925.0,1.0,,1.0,,7667.0,1586.0,,3.0
72,237000,1998.0,2.0,,1.0,,12066.0,1423.0,,3.0
73,504900,2021.0,2.0,,1.0,,21344.0,2805.0,3.0,3.0
74,235000,2004.0,2.0,,1.0,,7013.0,1810.0,1.0,3.0
76,469800,2009.0,3.0,,,,9148.0,3301.0,2.0,5.0
77,314900,1968.0,2.0,,1.0,,16379.0,2392.0,2.0,3.0
78,199900,1986.0,1.0,,1.0,,8625.0,955.0,,3.0
