iter	RMSE
0	252328.1092
1	250490.9551
2	248443.0313
3	246021.6626
4	243902.1324
5	241652.8375
6	239498.4129
7	237884.0375
8	235321.3121
9	233156.818
10	231523.3786
11	229638.7914
12	228634.4551
13	226668.3419
14	224519.1552
15	222450.4335
16	220580.3014
17	218958.0688
18	217394.8778
19	215885.4128
20	214283.3191
21	212752.9088
22	210783.9303
23	208599.715
24	207255.8647
25	205407.6914
26	203981.5016
27	202205.2519
28	200752.0169
29	199115.6227
30	197409.3359
31	196042.2711
32	194297.0211
33	192332.1153
34	190867.5983
35	189573.567
36	188173.2046
37	187248.502
38	186453.2695
39	185189.1133
40	183688.1997
41	182323.9703
42	180776.9811
43	179353.8104
44	178459.6844
45	176833.8248
46	176211.2575
47	174990.2074
48	174193.6502
49	173125.3275
50	171782.055
51	170290.0667
52	169096.0574
53	168337.3891
54	167335.6479
55	166325.7077
56	165033.5461
57	163921.6394
58	162425.693
59	161456.3887
60	160080.572
61	159285.2075
62	158451.8679
63	157346.3866
64	156099.1234
65	155029.1935
66	154444.3055
67	153547.7454
68	152533.6029
69	151593.7632
70	150542.6973
71	149810.2752
72	149333.1539
73	148613.4466
74	147570.5812
75	146898.8794
76	145974.1011
77	144944.1672
78	144249.0858
79	143599.1212
80	142859.2898
81	142310.8077
82	141060.0406
83	140250.551
84	139115.986
85	138027.9069
86	137560.5356
87	136876.9626
88	135700.8334
89	134684.8635
90	133807.3004
91	132797.6379
92	132424.6263
93	131764.8205
94	131143.4108
95	130343.1133
96	129631.3667
97	129022.7184
98	128483.9808
99	127734.809
100	126889.3453
101	126450.0007
102	125772.913
103	124973.8798
104	124664.8233
105	124133.5291
106	123360.2407
107	122631.0158
108	121888.0694
109	121213.292
110	120356.4438
111	119821.8637
112	119032.4539
113	118375.8493
114	117925.6665
115	117295.2192
116	116410.9651
117	115757.4674
118	115390.0437
119	114642.5639
120	114220.9286
121	113534.0393
122	112951.9412
123	112396.522
124	111613.6009
125	110904.5524
126	110453.7916
127	109536.1331
128	108910.6955
129	108385.8178
130	107800.5024
131	107176.5089
132	106480.5394
133	106050.6675
134	105737.4525
135	105069.1881
136	104554.584
137	104050.9369
138	103356.2687
139	102964.3323
140	102651.5269
141	102337.1995
142	101623.6704
143	101260.8376
144	100564.6443
145	100076.673
146	99615.18961
147	99259.319
148	98717.65717
149	98304.92678
150	97713.95332
151	97410.10179
152	96814.79832
153	96472.46041
154	95931.75278
852
155	93554.96597
156	93218.92468
157	92887.45678
158	92629.82289
159	92185.48139
160	91731.66396
161	91393.82645
162	90900.47495
163	90577.33257
164	90256.58186
165	89930.77971
166	89763.57673
39.93971
168	95602.2169	94891.0784
170	94736.3308
171	94369.6963
172	94104.98706
173	93490.97004
174	92974.13216
175	92725.63444
176	91985.37989
177	91283.58457
178	90799.7881
179	90503.17724
180	90040.65921
181	89806.01224
182	89234.11306
183	89047.33573
184	88816.61477
185	88452.27129
186	87901.41817
187	87508.545
188	86848.44489
189	86322.67979
190	85954.04202
191	85560.88961
192	85044.59416
193	84479.45035
194	84268.27583
195	83785.1109
196	83250.21426
197	82870.08717
198	82668.3534
199	82194.50854
200	81893.07852
201	81455.16993
202	81129.85841
203	80828.40713
204	80632.93605
205	80139.61008
206	79614.00794
207	79427.82689
208	78950.42061
209	78368.65633
210	77926.09465
211	77464.0138
212	77003.9694
213	76828.11206
214	76354.61384
215	76159.36204
216	75748.71341
217	75148.92752
218	74979.07671
219	74488.09923
220	74264.87507
221	73884.02776
222	73505.70756
223	72984.08394
224	72599.08423
225	72117.41376
226	71955.97637
227	71496.89578
228	70993.46753
229	70666.86194
230	70357.29677
231	70183.099
232	69754.41614
233	69470.26782
234	68954.15496
235	68699.50775
236	68556.88467
237	68079.34715
238	67915.08742
239	67625.25931
240	67202.05635
241	67059.68754
242	66635.84722
243	66247.29764
244	65914.72088
245	65516.85386
246	65279.54798
247	64878.1567
74210.76227
248	74128.93941
249	73622.09001
