iter	Passed	Remaining
0	2	2351
1	4	2040
2	5	1921
3	7	1891
4	9	1846
5	10	1788
6	12	1755
7	14	1738
8	15	1723
9	17	1712
10	18	1705
11	20	1697
12	22	1699
13	23	1689
14	25	1678
15	27	1669
16	28	1663
17	30	1654
18	31	1651
19	33	1652
20	35	1647
21	36	1642
22	38	1638
23	40	1631
24	41	1627
25	43	1624
26	44	1620
27	46	1614
28	47	1606
29	49	1603
30	51	1598
31	52	1596
32	54	1592
33	55	1588
34	57	1584
35	59	1590
36	61	1587
37	62	1583
38	64	1580
39	65	1577
40	67	1574
41	68	1571
42	70	1568
43	72	1565
44	73	1561
45	75	1558
46	76	1555
47	78	1554
48	79	1551
49	81	1549
50	83	1546
51	84	1543
52	85	1534
53	87	1532
54	89	1529
55	90	1527
56	92	1526
57	93	1525
58	95	1523
59	97	1522
60	98	1520
61	100	1518
62	101	1515
63	103	1514
64	105	1513
65	106	1510
66	108	1507
67	109	1505
68	111	1502
69	112	1500
70	114	1498
71	116	1496
72	117	1494
73	119	1493
74	121	1492
75	122	1491
76	124	1490
77	125	1488
78	127	1486
79	129	1484
80	130	1481
81	132	1479
82	133	1477
83	135	1476
84	136	1473
85	138	1471
86	140	1470
87	141	1469
88	143	1467
89	145	1466
90	146	1463
91	148	1461
92	149	1459
93	151	1457
94	152	1456
95	155	1459
96	156	1457
97	158	1456
98	159	1453
99	161	1452
100	162	1450
101	164	1449
102	166	1447
103	167	1445
104	169	1444
105	171	1444
106	172	1441
107	174	1440
108	176	1438
109	177	1437
110	179	1435
111	180	1433
112	182	1432
113	184	1430
114	185	1428
115	187	1426
116	188	1425
117	190	1424
118	192	1423
119	193	1420
120	195	1419
121	197	1418
122	198	1416
123	200	1414
124	201	1412
125	203	1410
126	204	1409
127	206	1407
128	208	1406
129	209	1404
130	211	1402
131	213	1400
132	214	1399
133	216	1397
134	217	1395
135	219	1394
136	221	1392
137	222	1390
138	224	1388
139	225	1386
140	226	1381
141	228	1379
142	229	1377
143	231	1375
144	232	1373
145	234	1371
146	236	1369
147	237	1368
148	239	1366
149	240	1365
150	242	1363
151	244	1361
152	245	1359
153	247	1357
154	248	1356
155	250	1354
156	251	1352
157	253	1351
158	255	1349
159	256	1348
160	258	1346
161	259	1344
162	261	1342
163	263	1341
164	264	1339
165	266	1338
166	267	1336
167	269	1335
168	271	1333
169	272	1331
170	274	1329
171	275	1327
172	277	1326
173	279	1325
174	280	1323
175	282	1322
176	284	1320
177	285	1319
178	287	1317
179	288	1315
180	290	1313
181	291	1311
182	293	1309
183	294	1307
184	296	1305
185	298	1304
186	299	1302
187	301	1300
188	302	1298
189	304	1297
190	305	1295
191	307	1293
192	309	1292
193	310	1290
194	312	1288
195	313	1287
196	315	1285
197	316	1283
198	318	1282
199	320	1280
200	321	1278
201	323	1276
202	324	1275
203	326	1273
204	328	1272
205	329	1270
206	331	1270
207	333	1269
208	334	1267
209	336	1266
210	338	1264
211	339	1262
212	341	1261
213	342	1259
214	344	1257
215	346	1257
216	348	1256
217	349	1254
218	351	1253
219	352	1251
220	354	1249
221	356	1248
222	357	1246
223	359	1244
224	360	1243
225	362	1241
226	363	1239
227	365	1237
228	366	1235
229	368	1232
230	369	1230
231	371	1228
232	372	1227
233	374	1225
234	376	1224
235	377	1222
236	379	1220
237	380	1219
238	382	1217
239	383	1215
240	385	1213
241	386	1212
242	388	1210
243	390	1208
244	391	1207
245	393	1205
246	395	1204
247	396	1203
248	398	1201
249	399	1199
250	401	1198
251	403	1196
252	404	1195
253	406	1193
254	408	1192
255	409	1190
256	411	1189
257	413	1188
258	414	1186
259	416	1186
260	418	1184
261	419	1182
262	421	1181
263	423	1179
264	424	1177
265	426	1176
266	428	1176
267	430	1175
268	431	1173
269	433	1171
270	435	1170
271	436	1168
272	438	1167
273	439	1165
274	441	1163
275	443	1162
276	444	1160
277	446	1159
278	448	1158
279	449	1156
280	451	1155
281	453	1153
282	454	1151
283	456	1150
284	457	1148
285	459	1147
286	461	1145
287	462	1143
288	464	1142
289	465	1140
290	467	1139
291	469	1137
292	470	1135
293	472	1134
294	473	1132
295	475	1130
296	477	1129
297	478	1127
298	480	1126
299	482	1124
300	483	1123
301	485	1121
302	486	1119
303	488	1118
304	490	1116
305	491	1114
306	493	1113
307	494	1111
308	496	1109
309	497	1108
310	499	1106
311	501	1105
312	502	1103
313	504	1102
314	506	1100
315	507	1099
316	509	1097
317	511	1096
318	512	1094
319	514	1092
320	515	1091
321	517	1089
322	519	1087
323	520	1086
324	522	1084
325	523	1082
326	525	1081
327	527	1079
328	529	1079
329	530	1077
330	532	1075
331	533	1074
332	536	1073
333	537	1072
334	539	1070
335	540	1068
336	542	1067
337	543	1065
338	545	1063
339	547	1062
340	548	1060
341	550	1058
342	551	1057
343	553	1055
344	555	1053
345	556	1052
346	558	1050
347	559	1049
348	561	1047
349	563	1046
350	564	1044
351	566	1042
352	568	1041
353	569	1039
354	571	1038
355	573	1036
356	574	1035
357	576	1033
358	577	1032
359	579	1030
360	581	1028
361	582	1027
362	584	1025
363	586	1024
364	587	1022
365	589	1021
366	591	1019
367	593	1019
368	595	1017
369	596	1016
370	598	1014
371	600	1013
372	602	1011
373	603	1010
374	605	1008
375	607	1007
376	608	1006
377	610	1004
378	612	1002
379	613	1001
380	615	999
381	616	997
382	618	996
383	620	994
384	621	993
385	623	991
386	624	989
387	626	988
388	627	986
389	629	984
390	631	983
391	632	981
392	634	980
393	636	978
394	637	977
395	639	975
396	641	973
397	642	972
398	644	970
399	645	968
400	647	967
401	649	965
402	650	963
403	652	962
404	653	960
405	655	959
406	657	957
407	658	955
408	660	954
409	662	952
410	663	951
411	665	949
412	666	947
413	668	946
414	670	944
415	671	942
416	673	941
417	674	939
418	676	938
419	678	936
420	679	935
421	681	933
422	683	931
423	684	930
424	686	928
425	688	927
426	689	925
427	691	924
428	693	922
429	694	920
430	696	919
431	697	917
432	699	916
433	701	914
434	702	912
435	704	911
436	706	909
437	707	908
438	709	906
439	711	905
440	712	903
441	714	901
442	715	900
443	717	898
444	719	897
445	720	895
446	722	893
447	724	892
448	725	890
449	727	889
450	729	887
451	730	886
452	732	884
453	734	882
454	735	881
455	737	879
456	738	878
457	740	876
458	742	874
459	743	873
460	745	871
461	747	870
462	748	868
463	750	867
464	752	865
465	753	863
466	755	862
467	757	860
468	758	859
469	760	857
470	762	855
471	763	854
472	765	852
473	766	850
474	768	849
475	770	847
476	771	846
477	773	844
478	774	842
479	776	841
480	778	839
481	779	838
482	781	836
483	783	835
484	784	833
485	786	831
486	788	830
487	789	828
488	791	826
489	792	825
490	794	823
491	796	822
492	797	820
493	799	818
494	800	817
495	802	815
496	804	813
497	805	812
498	807	810
499	808	808
500	810	807
501	812	805
502	813	803
503	815	802
504	816	800
505	818	799
506	820	797
507	821	795
508	823	794
509	824	792
510	826	790
511	827	789
512	829	787
513	831	785
514	832	784
515	834	782
516	836	781
517	837	779
518	839	777
519	841	776
520	842	774
521	844	773
522	845	771
523	847	769
524	849	768
525	850	766
526	852	764
527	854	763
528	855	761
529	857	760
530	859	758
531	860	757
532	862	755
533	863	753
534	865	752
535	867	750
536	868	748
537	870	747
538	871	745
539	873	743
540	874	742
541	876	740
542	877	738
543	879	737
544	881	735
545	882	733
546	884	732
547	885	730
548	887	729
549	889	727
550	890	725
551	892	724
552	894	722
553	895	721
554	897	719
555	898	717
556	900	716
557	902	714
558	903	712
559	905	711
560	906	709
561	908	707
562	909	706
563	911	704
564	913	703
565	914	701
566	916	699
567	917	698
568	919	696
569	921	694
570	922	693
571	924	691
572	925	689
