city,state,for_sale_last_modified,sold_last_modified
Anchorage,AK,2/21/2021 14:21,2/21/2021 14:23
Juneau,AK,2/21/2021 14:21,2/21/2021 14:23
Fairbanks,AK,2/21/2021 14:21,2/21/2021 14:23
Badger,AK,2/7/2021 7:55,2/21/2021 14:23
Knik-Fairview,AK,2/7/2021 7:55,2/21/2021 14:23
College,AK,2/7/2021 7:55,2/21/2021 14:23
Tanaina,AK,2/7/2021 7:55,2/21/2021 14:23
Lakes,AK,2/7/2021 7:55,1/1/2019 0:00
Wasilla,AK,2/7/2021 7:55,1/1/2019 0:00
Sitka,AK,2/7/2021 7:55,1/1/2019 0:00
Kalifornsky,AK,2/7/2021 7:55,1/1/2019 0:00
Ketchikan,AK,2/7/2021 7:55,1/1/2019 0:00
Meadow Lakes,AK,2/7/2021 7:55,1/1/2019 0:00
Kenai,AK,2/7/2021 7:55,1/1/2019 0:00
Steele Creek,AK,2/7/2021 7:55,1/1/2019 0:00
Palmer,AK,2/7/2021 7:55,1/1/2019 0:00
Gateway,AK,2/7/2021 7:55,1/1/2019 0:00
Fishhook,AK,2/7/2021 7:55,1/1/2019 0:00
Bethel,AK,2/7/2021 7:55,1/1/2019 0:00
Chena Ridge,AK,2/7/2021 7:55,1/1/2019 0:00
Kodiak,AK,2/7/2021 7:55,1/1/2019 0:00
Homer,AK,2/7/2021 7:55,1/1/2019 0:00
Farmers Loop,AK,2/7/2021 7:55,1/1/2019 0:00
Sterling,AK,2/7/2021 7:55,1/1/2019 0:00
Birmingham,AL,2/4/2021 17:03,1/1/2019 0:00
Montgomery,AL,2/4/2021 17:03,1/1/2019 0:00
Huntsville,AL,2/4/2021 17:03,1/1/2019 0:00
Mobile,AL,2/4/2021 17:03,1/1/2019 0:00
Tuscaloosa,AL,2/4/2021 17:03,1/1/2019 0:00
Hoover,AL,2/4/2021 17:03,1/1/2019 0:00
Dothan,AL,2/4/2021 17:03,1/1/2019 0:00
Auburn,AL,2/4/2021 17:03,1/1/2019 0:00
Decatur,AL,2/4/2021 17:03,1/1/2019 0:00
Madison,AL,2/7/2021 7:55,1/1/2019 0:00
Florence,AL,2/7/2021 7:55,1/1/2019 0:00
Phenix City,AL,2/7/2021 7:55,1/1/2019 0:00
Prattville,AL,2/7/2021 8:11,1/1/2019 0:00
Gadsden,AL,2/7/2021 8:11,1/1/2019 0:00
Vestavia Hills,AL,2/7/2021 8:11,1/1/2019 0:00
Alabaster,AL,2/7/2021 8:11,1/1/2019 0:00
Opelika,AL,2/7/2021 8:11,1/1/2019 0:00
Enterprise,AL,2/7/2021 8:11,1/1/2019 0:00
Bessemer,AL,2/7/2021 8:11,1/1/2019 0:00
Athens,AL,2/7/2021 8:11,1/1/2019 0:00
Daphne,AL,2/7/2021 8:11,1/1/2019 0:00
Northport,AL,2/7/2021 8:11,1/1/2019 0:00
Homewood,AL,2/7/2021 8:11,1/1/2019 0:00
Pelham,AL,2/7/2021 8:11,1/1/2019 0:00
Trussville,AL,2/7/2021 8:11,1/1/2019 0:00
Prichard,AL,2/7/2021 8:11,1/1/2019 0:00
Anniston,AL,2/7/2021 8:11,1/1/2019 0:00
Albertville,AL,2/7/2021 8:11,1/1/2019 0:00
Oxford,AL,2/7/2021 8:11,1/1/2019 0:00
Fairhope,AL,2/7/2021 8:11,1/1/2019 0:00
Mountain Brook,AL,2/7/2021 8:11,1/1/2019 0:00
Troy,AL,2/7/2021 8:11,1/1/2019 0:00
Foley,AL,2/7/2021 8:11,1/1/2019 0:00
Helena,AL,2/7/2021 8:11,1/1/2019 0:00
Selma,AL,2/7/2021 8:11,1/1/2019 0:00
Tillmans Corner,AL,2/7/2021 8:11,1/1/2019 0:00
Center Point,AL,2/7/2021 8:11,1/1/2019 0:00
Cullman,AL,2/7/2021 8:11,1/1/2019 0:00
Millbrook,AL,2/7/2021 8:11,1/1/2019 0:00
Hueytown,AL,2/7/2021 8:11,1/1/2019 0:00
Talladega,AL,2/7/2021 8:11,1/1/2019 0:00
Scottsboro,AL,2/7/2021 8:11,1/1/2019 0:00
Alexander City,AL,2/7/2021 8:11,1/1/2019 0:00
Hartselle,AL,2/7/2021 8:11,1/1/2019 0:00
Ozark,AL,2/7/2021 8:11,1/1/2019 0:00
Saraland,AL,2/7/2021 8:11,1/1/2019 0:00
Fort Payne,AL,2/7/2021 8:11,1/1/2019 0:00
Muscle Shoals,AL,2/7/2021 8:11,1/1/2019 0:00
Gardendale,AL,2/7/2021 8:11,1/1/2019 0:00
Calera,AL,2/7/2021 8:11,1/1/2019 0:00
Pell City,AL,2/7/2021 8:11,1/1/2019 0:00
Jasper,AL,2/7/2021 8:11,1/1/2019 0:00
Chelsea,AL,2/7/2021 8:11,1/1/2019 0:00
Moody,AL,2/7/2021 8:11,1/1/2019 0:00
Jacksonville,AL,2/7/2021 8:11,1/1/2019 0:00
Irondale,AL,2/7/2021 8:11,1/1/2019 0:00
Leeds,AL,2/7/2021 8:11,1/1/2019 0:00
Gulf Shores,AL,2/7/2021 8:11,1/1/2019 0:00
Sylacauga,AL,2/7/2021 8:11,1/1/2019 0:00
Eufaula,AL,2/7/2021 8:11,1/1/2019 0:00
Fairfield,AL,2/7/2021 8:11,1/1/2019 0:00
Saks,AL,2/7/2021 8:11,1/1/2019 0:00
Clay,AL,2/7/2021 8:11,1/1/2019 0:00
Russellville,AL,2/7/2021 8:11,1/1/2019 0:00
Pleasant Grove,AL,2/7/2021 8:11,1/1/2019 0:00
Rainbow City,AL,2/7/2021 8:11,1/1/2019 0:00
Atmore,AL,2/7/2021 8:11,1/1/2019 0:00
Meadowbrook,AL,2/7/2021 8:11,1/1/2019 0:00
Pike Road,AL,2/7/2021 8:11,1/1/2019 0:00
Valley,AL,2/7/2021 8:11,1/1/2019 0:00
Boaz,AL,2/7/2021 8:11,1/1/2019 0:00
Fultondale,AL,2/7/2021 8:11,1/1/2019 0:00
Bay Minette,AL,2/7/2021 8:11,1/1/2019 0:00
Sheffield,AL,2/7/2021 8:11,1/1/2019 0:00
Forestdale,AL,2/7/2021 8:11,1/1/2019 0:00
Southside,AL,2/7/2021 8:11,1/1/2019 0:00
Andalusia,AL,2/7/2021 8:11,1/1/2019 0:00
Clanton,AL,2/7/2021 8:11,1/1/2019 0:00
Spanish Fort,AL,2/7/2021 8:11,1/1/2019 0:00
Tuskegee,AL,2/7/2021 8:11,1/1/2019 0:00
Guntersville,AL,2/7/2021 8:11,1/1/2019 0:00
Tuscumbia,AL,2/7/2021 8:11,1/1/2019 0:00
Arab,AL,2/7/2021 8:11,1/1/2019 0:00
Wetumpka,AL,2/7/2021 8:11,1/1/2019 0:00
Greenville,AL,2/7/2021 8:11,1/1/2019 0:00
Brook Highland,AL,2/7/2021 8:11,1/1/2019 0:00
Pinson,AL,2/7/2021 8:11,1/1/2019 0:00
Meridianville,AL,2/7/2021 8:11,1/1/2019 0:00
Moores Mill,AL,2/7/2021 8:11,1/1/2019 0:00
Demopolis,AL,2/7/2021 8:11,1/1/2019 0:00
Montevallo,AL,2/7/2021 8:11,1/1/2019 0:00
Hamilton,AL,2/7/2021 8:11,1/1/2019 0:00
Lincoln,AL,2/7/2021 8:11,1/1/2019 0:00
Oneonta,AL,2/7/2021 8:11,1/1/2019 0:00
Robertsdale,AL,2/7/2021 8:11,1/1/2019 0:00
Opp,AL,2/7/2021 8:11,1/1/2019 0:00
Theodore,AL,2/7/2021 8:11,1/1/2019 0:00
Lanett,AL,2/7/2021 8:11,1/1/2019 0:00
Grayson Valley,AL,2/7/2021 8:11,1/1/2019 0:00
Tarrant,AL,2/7/2021 8:11,1/1/2019 0:00
