iter	RMSE
0	417937.2924
1	396654.4545
2	378124.8147
3	361080.5769
4	344300.0825
5	330779.1168
6	317827.9458
7	307330.7406
8	296677.09
9	287105.8872
10	278579.3732
11	269735.3646
12	263241.7414
13	257761.5145
14	251711.7042
15	245883.7791
16	239744.7721
17	235474.4952
18	230993.9985
19	225818.0503
20	221273.185
21	217381.2131
22	214051.5887
23	211388.9848
24	208950.47
25	206075.2969
26	203923.2327
27	202297.4095
28	200100.6566
29	197442.7002
30	194946.6224
31	192415.7469
32	189858.8622
33	187724.7778
34	186751.9792
35	184057.319
36	182732.8448
37	181198.9898
38	179737.0578
39	178375.2909
40	177617.917
41	175318.6476
42	173680.3636
43	171843.9898
44	170822.8886
45	169355.1249
46	167806.1387
47	166423.1202
48	164752.4316
49	163840.4003
50	162756.0931
51	162009.6117
52	160556.3285
53	159060.5493
54	158357.3765
55	157578.6626
56	156823.681
57	155986.4782
58	154704.9362
59	153194.2506
60	152933.6164
61	152167.31
62	150825.6775
63	149770.4534
64	149183.5011
65	148459.4931
66	147993.4631
67	147280.4667
68	145967.1185
69	145363.5253
70	144380.6815
71	143525.3591
72	142648.1098
73	141334.5154
74	141007.3509
75	140305.3026
76	139494.5211
77	138533.773
78	137652.2682
79	137048.1565
80	136168.1437
81	135844.056
82	135683.9274
83	135366.2377
84	134276.7859
85	133942.2629
86	133297.3723
87	133069.0415
88	132507.0402
89	131281.7528
90	130528.3854
91	129904.7301
92	129476.3125
93	129021.8398
94	128459.6639
95	128193.3065
96	127978.8295
97	127038.1904
98	126877.971
99	126423.9875
100	125830.0453
101	125341.0967
102	124317.0359
103	123529.2118
104	122752.1364
105	122229.1232
106	121648.4471
107	121513.1344
108	120974.9271
109	120585.4614
110	120263.596
111	119171.7971
112	119072.8519
113	118943.4803
114	118373.6208
115	117900.7047
116	117292.0361
117	116586.9385
118	116393.6484
119	116305.1611
120	115813.3147
121	115353.6646
122	115269.5063
123	114791.8548
124	114325.4167
125	113731.1252
126	113349.5754
127	112735.4187
128	112291.1526
129	112204.4226
130	111599.7678
131	111094.4468
132	110686.0521
133	110377.363
134	109821.8544
135	109143.935
136	108813.02
137	108383.565
138	107796.9513
139	107274.5202
140	106695.2096
141	106250.6561
142	105754.7572
143	105399.3607
144	104895.4805
145	104481.9717
146	104118.7149
147	103866.5839
148	103484.1924
149	103007.2839
150	102629.8393
151	102130.6703
152	101796.6916
153	101443.3618
154	100988.3082
155	100780.8395
156	100508.1166
157	99987.19266
158	99579.18525
159	99315.37497
160	99096.44919
161	98806.1346
162	98387.70412
163	98164.9719
164	97802.59405
165	97430.68756
166	97250.94953
167	97046.74945
168	96796.28832
169	96604.9876
170	96222.76726
171	95833.94686
172	95690.19461
173	95411.63606
174	95122.38582
175	94832.66416
176	94600.47565
177	94479.3173
178	94359.49011
179	94076.05917
180	93673.21408
181	93425.19302
182	93196.07923
183	93070.81533
184	92927.44916
185	92796.06415
186	92495.24936
187	92232.9493
188	91638.34655
189	91511.74996
190	90980.86521
191	90558.42956
192	90167.30979
193	89913.1807
194	89713.05974
195	89556.89654
196	89176.75262
197	88801.22425
198	88631.12904
199	88569.97705
200	88196.2412
201	88059.70652
202	87820.22519
203	87590.66579
204	87356.13965
205	87212.55895
206	87061.9138
207	86580.96945
208	86473.63171
209	86383.91996
210	86084.95128
211	85787.50029
212	85561.54591
213	85355.6333
214	85139.44963
215	85067.01462
216	85012.33255
217	84685.05476
218	84651.06693
219	84509.61119
220	84329.65257
221	84093.59802
222	83783.02549
223	83624.65072
224	83440.04235
225	83296.74788
226	83107.7992
227	82826.86587
228	82531.53869
229	82331.43635
230	82027.16514
231	81826.06354
232	81504.96046
233	81412.50374
234	81289.87275
235	81082.04868
236	80989.07106
237	80737.18124
238	80517.75946
239	80366.62438
240	80158.23481
241	79967.80644
242	79896.1647
243	79737.25994
244	79475.62008
245	79407.36146
246	79184.06624
247	78893.69774
248	78841.98411
249	78722.34948
250	78592.17463
251	78364.50524
252	78113.21233
253	78042.49808
254	77733.93918
255	77469.82721
256	77364.1233
257	77162.84002
258	76972.31282
259	76771.83102
260	76572.43939
261	76456.75901
262	76243.00924
263	75944.05485
264	75801.61996
265	75716.32184
266	75452.47927
267	75279.93342
268	75118.44944
269	74941.36766
270	74816.94165
271	74690.28847
272	74453.67722
273	74254.93679
274	74077.37978
275	73949.08482
276	73783.2377
277	73665.95444
278	73542.39202
279	73396.36749
280	73261.33664
281	73167.68153
282	73018.25671
283	72864.07345
284	72714.23781
285	72628.43866
286	72506.71875
287	72389.52838
288	72153.34178
289	72017.69634
290	71720.485
291	71644.7496
292	71468.03802
293	71433.99329
294	71231.89852
295	71055.81993
296	71001.17233
297	70921.34265
298	70796.78786
299	70565.21853
300	70442.20752
301	70335.05287
302	70157.23907
303	69909.79872
304	69626.95621
305	69497.6026
306	69385.68433
307	69148.67832
308	69017.43855
309	68762.34239
310	68634.45608
311	68613.66489
312	68514.90095
313	68376.79778
314	68340.66641
315	68265.15323
316	68220.9331
317	68136.64062
318	67990.56148
319	67807.2153
320	67698.7044
321	67595.55789
322	67581.91864
323	67530.92296
324	67357.14027
325	67187.86032
326	67012.67812
327	66857.90599
328	66677.41944
329	66552.83265
330	66332.61692
331	66149.59714
332	66035.40806
333	65909.20384
334	65806.77794
335	65667.48957
336	65545.49739
337	65440.67822
338	65338.59557
339	65200.28865
340	65066.91981
341	64869.80124
342	64721.62852
343	64594.33627
344	64473.08211
345	64360.80021
346	64237.79169
347	64217.39292
348	64114.04102
349	64004.01207
350	63991.12447
351	63881.90303
352	63756.95705
353	63682.17205
354	63590.95154
355	63468.79302
356	63313.00585
357	63176.99594
358	63071.26476
359	62950.26111
360	62780.46738
361	62722.71209
362	62588.83236
363	62458.65353
364	62375.37697
365	62211.4217
366	62055.01814
367	61955.40222
368	61851.31193
369	61817.67302
370	61747.93011
371	61675.97383
372	61552.47873
373	61436.25283
374	61382.59578
375	61264.99617
376	61169.38813
377	61039.25494
378	60922.43399
379	60803.89888
380	60711.53243
381	60494.79145
382	60462.71305
383	60379.53663
384	60246.16014
385	60114.28684
386	60053.73618
