iter	Passed	Remaining
0	7	10763
1	13	9861
2	18	9077
3	24	9063
4	30	8982
5	36	8966
6	40	8728
7	45	8531
8	50	8403
9	56	8365
10	61	8293
11	66	8260
12	71	8215
13	76	8139
14	82	8209
15	88	8215
16	94	8231
17	99	8175
18	104	8121
19	109	8092
20	114	8065
21	119	8033
22	124	8008
23	129	7967
24	134	7956
25	139	7928
26	144	7893
27	149	7857
28	154	7830
29	159	7822
30	165	7827
31	170	7828
32	175	7821
33	180	7803
34	185	7781
35	191	7770
36	196	7765
37	202	7781
38	207	7789
39	212	7765
40	218	7765
41	223	7755
42	228	7754
43	234	7744
44	239	7729
45	244	7715
46	248	7695
47	254	7687
48	260	7705
49	265	7698
50	271	7705
51	276	7710
52	282	7701
53	287	7687
54	292	7683
55	296	7644
56	301	7630
57	306	7619
58	311	7610
59	317	7609
60	322	7604
61	327	7594
62	332	7593
63	338	7587
64	343	7574
65	348	7572
66	354	7575
67	359	7572
68	364	7567
69	370	7564
70	375	7559
71	381	7560
72	386	7562
73	391	7552
74	396	7539
75	401	7526
76	406	7521
77	412	7513
78	417	7507
79	422	7498
80	427	7495
81	432	7484
82	438	7480
83	443	7469
84	448	7471
85	453	7461
86	459	7462
87	464	7455
88	469	7450
89	475	7447
90	480	7440
91	486	7444
92	491	7438
93	496	7429
94	502	7433
95	507	7420
96	512	7410
97	517	7405
98	522	7390
99	527	7386
100	532	7380
101	538	7374
102	544	7380
103	549	7372
104	554	7372
105	560	7365
106	565	7356
107	570	7348
108	575	7338
109	579	7326
110	584	7318
111	590	7318
112	595	7306
113	600	7297
114	605	7289
115	610	7289
116	616	7292
117	622	7294
118	627	7286
119	633	7282
120	638	7277
121	643	7268
122	648	7262
123	653	7253
124	658	7247
125	664	7242
126	669	7236
127	674	7228
128	679	7226
129	684	7215
130	690	7214
131	695	7205
132	700	7200
133	705	7193
134	712	7199
135	717	7193
136	722	7192
137	727	7183
138	733	7185
139	738	7177
140	743	7170
141	750	7174
142	755	7171
143	760	7164
144	766	7159
145	771	7153
146	776	7146
147	782	7143
148	787	7144
149	793	7139
150	798	7134
151	804	7134
152	809	7125
153	814	7118
154	820	7117
155	826	7117
156	831	7110
157	836	7106
158	841	7098
159	846	7091
160	852	7089
161	858	7087
162	863	7084
163	869	7080
164	874	7072
165	879	7068
166	885	7066
167	890	7056
168	895	7051
169	900	7042
170	906	7041
171	911	7040
172	917	7038
173	922	7030
174	927	7024
175	933	7019
176	938	7014
177	944	7017
178	949	7008
179	955	7007
180	961	7006
181	966	7002
182	971	6994
183	977	6988
184	982	6981
185	986	6972
186	992	6966
187	997	6963
188	1003	6957
189	1008	6951
190	1013	6947
191	1018	6940
192	1024	6934
193	1029	6928
194	1034	6921
195	1039	6916
196	1045	6916
197	1050	6910
198	1055	6902
199	1060	6895
200	1066	6893
201	1071	6887
202	1076	6879
203	1082	6877
204	1087	6869
205	1092	6862
206	1097	6855
207	1103	6852
208	1109	6851
209	1114	6845
210	1119	6837
211	1124	6832
212	1129	6825
213	1135	6823
214	1141	6819
215	1146	6813
216	1151	6805
217	1156	6801
218	1161	6795
219	1166	6789
220	1171	6782
221	1177	6780
222	1182	6772
223	1187	6766
224	1193	6764
225	1199	6759
226	1204	6752
227	1209	6747
228	1215	6743
229	1219	6736
230	1225	6731
231	1230	6724
232	1235	6717
233	1240	6709
234	1245	6705
235	1251	6701
236	1256	6695
237	1261	6690
238	1267	6685
239	1272	6681
240	1277	6674
241	1282	6667
242	1287	6661
243	1293	6660
244	1300	6663
245	1305	6656
246	1311	6652
247	1316	6645
248	1321	6638
249	1326	6634
250	1331	6626
251	1337	6623
252	1342	6617
253	1347	6610
254	1352	6603
255	1357	6597
256	1362	6590
257	1367	6584
258	1372	6578
259	1378	6572
260	1383	6566
261	1388	6561
262	1394	6558
263	1399	6551
264	1404	6544
265	1409	6537
266	1414	6530
267	1418	6523
268	1424	6518
269	1429	6511
270	1434	6504
271	1439	6499
272	1444	6492
273	1449	6486
274	1455	6483
275	1460	6478
276	1465	6472
277	1470	6464
278	1475	6458
279	1481	6455
280	1487	6452
281	1492	6445
282	1497	6438
283	1502	6433
284	1508	6430
285	1513	6424
286	1518	6417
287	1523	6412
288	1528	6406
289	1534	6402
290	1540	6400
291	1545	6393
292	1550	6386
293	1555	6378
294	1559	6371
295	1565	6366
296	1570	6360
297	1575	6353
298	1580	6348
299	1586	6344
300	1591	6338
301	1596	6332
302	1602	6329
303	1607	6323
304	1613	6320
305	1618	6315
306	1623	6310
307	1629	6304
308	1634	6298
309	1640	6295
310	1645	6291
311	1650	6285
312	1656	6282
313	1661	6277
314	1666	6269
315	1671	6262
316	1677	6258
317	1682	6254
318	1687	6248
319	1692	6242
320	1698	6236
321	1703	6230
322	1707	6223
323	1713	6218
324	1718	6214
325	1724	6209
326	1729	6204
327	1734	6198
328	1739	6192
329	1744	6186
330	1750	6181
331	1755	6175
332	1760	6171
333	1766	6168
334	1771	6161
335	1777	6156
336	1782	6151
337	1788	6148
338	1794	6147
339	1800	6142
340	1805	6137
341	1811	6133
342	1816	6128
343	1822	6124
344	1827	6118
345	1833	6116
346	1838	6110
347	1844	6106
348	1849	6100
349	1855	6095
350	1860	6089
351	1866	6086
352	1871	6079
353	1875	6072
354	1881	6066
355	1887	6063
356	1892	6059
357	1897	6052
358	1903	6048
359	1908	6043
360	1913	6037
361	1918	6030
362	1923	6025
363	1928	6019
364	1934	6014
365	1939	6008
366	1944	6002
367	1950	5998
368	1956	5995
369	1960	5988
370	1966	5983
371	1970	5976
372	1976	5970
373	1981	5965
374	1986	5959
375	1991	5953
376	1997	5949
377	2002	5943
378	2007	5937
379	2012	5932
380	2017	5926
381	2023	5921
382	2029	5918
383	2034	5912
384	2039	5905
385	2045	5904
386	2051	5899
387	2056	5895
388	2061	5888
389	2067	5883
390	2072	5877
391	2077	5871
392	2082	5865
393	2087	5860
394	2092	5855
395	2098	5850
396	2103	5844
397	2108	5838
398	2114	5834
399	2120	5830
400	2125	5824
401	2130	5818
402	2135	5814
403	2141	5810
404	2147	5804
405	2153	5802
406	2159	5798
407	2164	5792
408	2169	5787
409	2174	5781
410	2179	5775
411	2184	5770
412	2190	5765
413	2195	5759
414	2200	5753
415	2205	5747
416	2210	5741
417	2215	5735
418	2220	5728
419	2226	5725
420	2231	5720
421	2238	5717
422	2243	5711
423	2248	5705
424	2253	5700
425	2260	5698
426	2264	5691
427	2270	5685
428	2274	5679
429	2279	5673
430	2285	5669
431	2291	5663
432	2296	5658
433	2301	5652
434	2306	5646
435	2311	5641
436	2316	5635
437	2321	5628
438	2326	5622
439	2331	5616
440	2336	5610
441	2341	5604
442	2346	5598
443	2351	5593
444	2356	5587
445	2361	5581
446	2366	5575
447	2371	5569
448	2377	5565
449	2382	5558
450	2387	5553
451	2392	5548
452	2398	5544
453	2404	5538
454	2409	5533
455	2414	5526
456	2419	5520
457	2424	5516
458	2429	5510
459	2434	5504
460	2439	5498
461	2445	5495
462	2451	5490
463	2456	5485
464	2461	5479
465	2467	5475
466	2472	5469
467	2477	5463
468	2482	5458
469	2488	5453
470	2493	5447
471	2499	5443
472	2504	5437
473	2509	5432
474	2515	5427
475	2520	5421
