mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_selection,param_regressor,param_regressor__depth,param_regressor__iterations,param_regressor__learning_rate,param_regressor__loss_function,param_scaler,param_regressor__kernel,param_regressor__C,param_regressor__alpha,param_regressor__l1_ratio,param_regressor__n_neighbors,param_regressor__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14.43951125,2.580616069,1.286277485,0.400819209,passthrough,<catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>,4,500,0.01,RMSE,RobustScaler(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>, 'regressor__depth': 4, 'regressor__iterations': 500, 'regressor__learning_rate': 0.01, 'regressor__loss_function': 'RMSE', 'scaler': RobustScaler()}",0.765277567,0.722737534,0.650402145,0.736478052,0.72768161,0.720515382,0.038027934,359
14.57074065,2.161017111,1.396901083,0.771145239,passthrough,<catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>,4,500,0.01,RMSE,StandardScaler(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>, 'regressor__depth': 4, 'regressor__iterations': 500, 'regressor__learning_rate': 0.01, 'regressor__loss_function': 'RMSE', 'scaler': StandardScaler()}",0.76527743,0.722737882,0.650402145,0.736578588,0.72767449,0.720534107,0.038036099,358
16.3595252,1.100303602,0.614132643,0.277474207,passthrough,<catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>,4,500,0.01,RMSE,PowerTransformer(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>, 'regressor__depth': 4, 'regressor__iterations': 500, 'regressor__learning_rate': 0.01, 'regressor__loss_function': 'RMSE', 'scaler': PowerTransformer()}",0.645510983,0.690259316,0.596125634,0.644878874,0.655506614,0.646456284,0.030123646,446
16.86583476,1.031177392,0.654941559,0.267463305,passthrough,<catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>,4,500,0.01,RMSE,QuantileTransformer(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>, 'regressor__depth': 4, 'regressor__iterations': 500, 'regressor__learning_rate': 0.01, 'regressor__loss_function': 'RMSE', 'scaler': QuantileTransformer()}",0.76500619,0.722823137,0.650395605,0.73657516,0.727676468,0.720495312,0.037975615,360
17.11668892,1.23060445,0.574324179,0.08486465,passthrough,<catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>,4,500,0.05,RMSE,RobustScaler(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>, 'regressor__depth': 4, 'regressor__iterations': 500, 'regressor__learning_rate': 0.05, 'regressor__loss_function': 'RMSE', 'scaler': RobustScaler()}",0.857870933,0.788975766,0.728727425,0.788669605,0.815478484,0.795944443,0.042038273,159
16.78121729,1.473935284,0.738359165,0.414340151,passthrough,<catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>,4,500,0.05,RMSE,StandardScaler(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>, 'regressor__depth': 4, 'regressor__iterations': 500, 'regressor__learning_rate': 0.05, 'regressor__loss_function': 'RMSE', 'scaler': StandardScaler()}",0.859065441,0.788974509,0.728727425,0.788733754,0.815478484,0.796195923,0.042389207,158
14.57674279,5.741929781,1.544535637,1.127067463,passthrough,<catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>,4,500,0.05,RMSE,PowerTransformer(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>, 'regressor__depth': 4, 'regressor__iterations': 500, 'regressor__learning_rate': 0.05, 'regressor__loss_function': 'RMSE', 'scaler': PowerTransformer()}",0.70136819,0.756507795,0.660695323,0.69771127,0.718810459,0.707018607,0.031153259,384
12.01118965,1.855444188,1.278675508,0.766245755,passthrough,<catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>,4,500,0.05,RMSE,QuantileTransformer(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>, 'regressor__depth': 4, 'regressor__iterations': 500, 'regressor__learning_rate': 0.05, 'regressor__loss_function': 'RMSE', 'scaler': QuantileTransformer()}",0.857197271,0.792318386,0.728810292,0.788733553,0.815490272,0.796509955,0.041724067,157
7.912506104,4.097484121,1.217062426,0.775159165,passthrough,<catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>,4,500,0.1,RMSE,RobustScaler(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>, 'regressor__depth': 4, 'regressor__iterations': 500, 'regressor__learning_rate': 0.1, 'regressor__loss_function': 'RMSE', 'scaler': RobustScaler()}",0.868794308,0.804812447,0.744684498,0.800785634,0.83441341,0.81069806,0.041056738,119
11.39425631,2.17722143,1.203059292,0.454565872,passthrough,<catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>,4,500,0.1,RMSE,StandardScaler(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x000001D7EFDFBF48>, 'regressor__depth': 4, 'regressor__iterations': 500, 'regressor__learning_rate': 0.1, 'regressor__loss_function': 'RMSE', 'scaler': StandardScaler()}",0.86875351,0.804812044,0.744694319,0.800857387,0.83441341,0.810706134,0.041038593,118
