iter	RMSE
0	266125.5897
1	263295.0071
2	257951.1815
3	252997.0062
4	248182.2153
5	243875.0453
6	239695.9927
7	235756.8379
8	231948.91
9	228640.3292
10	225418.0263
6
11	219408.8242
12	216505.3451
	216713.4641
14	214237.2505
15	211757.643
16	209550.3525
2
17	198508.7802
18	196503.3536
19	194737.9541
20	192857.0104
21	190678.0113
22	189122.6893
23	187662.4254
24	186072.2758
25	190233.9678
26	189031.8057
27	187991.6926
2125.9321
29	180468.4392
30	179253.7125
31	177433.3346
32	176238.1069
33	175426.4483
34	174476.8442
35	173538.8652
36	172720.2053
37	171832.0059
38	170680.7957
39	169785.822
033
40	173060.4249
41	172046.5121
42	171352.6231
43	170529.4114
44	169871.7875
45	168822.8832
63648.925
47	162621.8241
48	161824.4277
49	161254.7171
50	160747.3646
51	159956.614
52	15952	163557.2868
53	163033.0493
54	162656.8565
55	162243.4471
56	161588.2205
57	161040.4042
58	160342.6092
59	159669.1269
60	159219.0322
529.3376
62	152059.4134
63	151155.5958
64	150724.0299
65	150210.8735
66	149531.2136
67	149188.604
68	148737.9421
69	148170.0964
70	147364.2986
