iter	Passed	Remaining
0	225	337366
1	427	320336
2	483	241494
3	556	208159
4	625	186954
5	698	174015
6	754	160849
7	791	147645
8	822	136313
9	854	127306
10	942	127562
	833	103406
12	868	99373
3	789	83780
14	810	80272
15	889	82524
16	929	81069
	54143
18	674	52584
19	712	52698
20	748	52694
21	787	52921
22	808	51917
23	857	52743
24	892	52650
5	921	52253
26	986	53796
27	1024	53884

28	747	37933
29	769	37717
30	783	37125
31	797	36596
32	809	36005
33	829	35745
34	851	35648
35	871	35451
36	886	35073737	901	34701
38	919	34444
39	937	34229
0	901	32088
41	922	32027
42	946	32062
43	961	31829
44	967	31296
45	1002	31672
	620	19189
47	622	18832
48	624	18487
49	635	18420
50	650	18467
51	664	18512
52	777	21237
53	798	21379
54	830	21820
55	862	22233
56	893	22626
57	911	22653
58	947	23132
59	978	23490
60	1009	23810
1	821	19053
62	838	19123
63	855	19189
64	875	19337
65	887	19289
66	894	19129
67	900	18971
68	919	19071
69	947	19360
70	972	19565
